round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,third_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
30,2.452613903,0.847247138,0.065782079,0.971956506,60,30,20,64,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
30,2.482129732,0.845666223,0.072213125,0.971704085,50,35,20,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
30,2.481698749,0.845647697,0.086846812,0.969811309,50,30,20,32,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
30,2.486698975,0.845703276,0.088082234,0.969787379,50,35,20,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
30,2.485066463,0.845814434,0.100480106,0.96964766,50,30,20,32,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
30,2.487511189,0.845499486,0.103048371,0.96937594,50,40,25,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
30,2.485179538,0.84549331,0.090690663,0.969356642,70,30,20,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
30,2.487019168,0.845700188,0.100540894,0.967290953,70,35,25,32,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
30,2.491670882,0.845388328,0.162507746,0.964652492,70,40,25,32,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
30,7.068883442,0.56143184,7.894508906,0.506250328,50,35,25,256,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
30,7.068883442,0.56143184,7.960578395,0.502560496,60,35,25,256,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
30,7.068883439,0.56143184,8.384348227,0.479690486,70,40,25,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
30,2.446512245,0.84805921,0.041723659,0.977935115,50,30,25,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x7f1802f6aea0>
30,2.443839091,0.848158002,0.041758028,0.97787416,70,40,25,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x0000012676865F78>
30,2.446301503,0.848056122,0.042300238,0.97778922,60,35,25,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x7f1802f6aea0>
30,2.445969136,0.848083912,0.042042747,0.977718202,60,35,20,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x7f1802f6aea0>
30,2.445980246,0.847972754,0.042223628,0.977665711,70,35,25,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x7f1802f6aea0>
30,2.446755774,0.847901736,0.042358245,0.977665711,50,40,20,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x7f1802f6aea0>
30,2.446707681,0.848031421,0.042566218,0.977620938,70,40,20,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x7f1802f6aea0>
30,2.44555695,0.848111702,0.042747049,0.977573851,70,30,25,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x7f1802f6aea0>
30,2.446801446,0.847904824,0.042190809,0.977542973,70,35,20,64,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x7f1802f6aea0>
30,2.44579166,0.848012894,0.04268602,0.977478903,50,30,20,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x7f1802f6aea0>
30,2.446842881,0.847975842,0.043325988,0.977191745,50,40,20,256,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x7f1802f6aea0>
30,2.450210445,0.847688683,0.043527077,0.976784937,60,35,20,64,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7f1802f6aea0>
