round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,third_neuron,fourth_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
30,2.332705132,0.847395349,0.044340462,0.976009146,70,40,30,20,256,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.128619756,0.847586788,0.045211311,0.975972865,70,50,35,25,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.481139418,0.845944118,0.058050568,0.975333706,70,50,30,20,256,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
30,2.485486431,0.845721802,0.084514104,0.972377981,70,40,30,25,64,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
30,2.48306832,0.845558153,0.069907911,0.972299244,70,50,30,20,64,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
30,2.482718426,0.845712539,0.07168508,0.971890892,70,40,35,20,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
30,2.45148698,0.847512683,0.093206605,0.97027138,70,40,35,25,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
30,2.484703466,0.845669311,0.10037626,0.970184152,70,40,30,20,32,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
30,2.484487212,0.845854574,0.094589765,0.970022046,70,40,35,25,32,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
30,2.460379864,0.846623418,0.092078,0.969771169,60,50,30,20,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
30,2.472761642,0.845873101,0.077787692,0.969720221,70,40,35,20,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
30,2.48587996,0.845690925,0.128230135,0.968485903,70,40,35,25,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
30,2.485767131,0.845474784,0.12564725,0.968484359,60,50,35,20,32,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
30,2.487507153,0.845508749,0.0926329,0.967991867,60,50,35,20,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
30,2.489743779,0.845286433,0.174029215,0.965325616,70,50,35,25,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
30,3.539022636,0.780274375,2.369353439,0.852455359,60,40,35,25,64,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
30,2.445328548,0.848037596,0.041446831,0.978042413,70,40,30,25,256,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.447577282,0.847914087,0.041970022,0.977955185,60,40,35,20,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.447998079,0.847920263,0.042639097,0.977933571,60,50,35,25,64,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.446845191,0.847941877,0.041729316,0.977898834,60,40,30,20,256,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.44675201,0.84792335,0.04178582,0.977887255,70,40,30,25,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.446226377,0.848009807,0.042423778,0.977807746,60,40,35,20,64,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.445970826,0.848034508,0.042808314,0.977786904,70,50,35,25,256,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.446367029,0.848062298,0.042522881,0.977766834,60,50,30,20,64,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.417204284,0.847997456,0.043399341,0.977680377,60,40,30,20,64,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.44834888,0.847861596,0.042037343,0.977674974,70,50,35,25,32,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.445842974,0.848040684,0.042033602,0.977665711,70,50,30,20,256,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.481303805,0.845907066,0.051918541,0.97762171,70,40,35,20,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.446675496,0.847985105,0.042846269,0.977600868,60,50,35,25,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.42817547,0.84606454,0.0526986,0.977600868,60,50,30,20,32,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.466093449,0.845502574,0.053108245,0.977451114,70,40,35,25,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.444312619,0.846061452,0.052894594,0.977368517,70,50,35,20,256,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.445065228,0.848179632,0.043384795,0.977259675,60,50,35,20,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.48045664,0.845931767,0.054624952,0.977223394,70,40,35,20,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.478576251,0.846005873,0.054506037,0.977116867,60,40,35,25,64,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.42862523,0.845888539,0.053862726,0.977079043,70,50,35,20,64,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.48003877,0.845971908,0.052847339,0.977049709,70,50,35,20,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.481263471,0.845876188,0.055445918,0.976915393,70,50,35,20,32,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.446164705,0.847932613,0.04318392,0.976913077,70,40,30,25,32,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.450821187,0.847278016,0.043275459,0.976889148,60,40,35,20,256,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.482905513,0.845758855,0.05305346,0.976889148,70,40,35,20,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.478017155,0.84606454,0.054009617,0.97682199,60,50,35,20,32,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.237498664,0.84765163,0.046863107,0.976807323,60,40,35,25,256,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.446239732,0.84788321,0.044027776,0.976789568,60,40,30,25,64,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.435281896,0.847907912,0.059723169,0.976779533,70,50,35,20,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.39604927,0.847722648,0.043395408,0.976755603,70,50,35,25,256,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.448920829,0.847565174,0.043495537,0.976707744,60,40,35,25,64,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.420274337,0.847858508,0.04569527,0.976696165,60,40,30,25,32,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.44723976,0.847877034,0.043181485,0.976695393,70,50,30,25,64,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
