round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
30,2.487550878,0.845666223,0.206139939,0.957057459,70,25,32,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x7f77eb3e9ea0>
30,532.8614434,0.847275436,0.228386218,0.9475392,70,35,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.1,<function selu at 0x000002069ABE51F8>
30,275.2213257,0.84297967,0.427298074,0.86385375,60,25,64,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.1,<function selu at 0x000002069ABE51F8>
30,7.068885653,0.56143184,6.922644074,0.565008198,60,25,256,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,<function selu at 0x7f77eb3e9ea0>
30,7.068885653,0.56143184,7.285794258,0.543990823,60,20,256,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.1,<function selu at 0x7f77eb3e9ea0>
30,7.075803441,0.561002646,7.376342873,0.538571093,50,35,256,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.1,<function selu at 0x7f77eb3e9ea0>
30,3.253932678,0.56143184,1.446707324,0.534046032,70,20,256,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.1,<function selu at 0x7f77eb3e9ea0>
30,7.07376075,0.561129243,7.422084942,0.532717538,50,30,64,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.1,<function selu at 0x7f77eb3e9ea0>
30,7.068885653,0.56143184,7.539270172,0.527689177,70,25,256,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,<function selu at 0x7f77eb3e9ea0>
30,7.079882213,0.560749453,7.90954441,0.508858684,50,35,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.1,<function selu at 0x7f77eb3e9ea0>
30,7.068883431,0.56143184,8.116140589,0.494772481,70,25,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,<function selu at 0x7f77eb3e9ea0>
30,2.902577131,0.56143184,4.476074875,0.493418513,50,20,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.1,<function selu at 0x7f77eb3e9ea0>
30,7.068883431,0.56143184,8.216864106,0.488471977,70,25,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.1,<function selu at 0x7f77eb3e9ea0>
30,7.068883429,0.56143184,8.336418542,0.482196947,50,25,32,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,<function selu at 0x7f77eb3e9ea0>
30,6.67064603,0.556219995,1.472923195,0.44155714,70,30,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,<function selu at 0x000002069ABE51F8>
30,135.4356197,0.556221485,1.444559663,0.4415066,70,15,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.1,<function selu at 0x000002069ABE51F8>
30,43.1060768,0.556219995,1.483921951,0.43309996,60,15,32,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.1,<function selu at 0x000002069ABE51F8>
30,2.446003493,0.848056122,0.041999349,0.977839395,50,20,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x000002AB4FB24510>
30,2.479307373,0.845978083,0.04928295,0.977793079,70,30,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x0000020FEB4E5510>
30,2.446201863,0.848028333,0.042392855,0.977762202,60,25,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x0000017229AC8510>
30,2.446736896,0.848046859,0.042087154,0.977691184,50,35,64,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x000002AB4FB24510>
30,2.446320333,0.848012894,0.042711975,0.977670342,50,25,256,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x000002AB4FB24510>
30,2.447202696,0.847839982,0.04283096,0.977573851,60,25,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x000002AB4FB24510>
30,6.694668719,0.850850105,0.043484215,0.97755367,50,35,32,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<function relu at 0x00000206FE951318>
30,9.170312543,0.850885332,0.043840346,0.977288,70,20,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x00000206FE951318>
30,2.337588034,0.847954228,0.043466757,0.977207183,70,30,256,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x0000017229AC8510>
30,2.421737722,0.848034508,0.043343355,0.977043534,60,20,256,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x0000017229AC8510>
30,6.613824244,0.850966454,0.042880007,0.9770362,60,25,256,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x00000206FE951318>
30,2.446591583,0.848046859,0.043964629,0.976937779,60,20,256,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x0000017229AC8510>
30,2.447062385,0.847839982,0.043011098,0.976937007,70,30,32,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function relu at 0x0000017229AC8510>
30,5.621763929,0.850689352,0.044495136,0.97693056,50,35,32,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function relu at 0x00000206FE951318>
30,2.447209532,0.847846157,0.043322288,0.976882972,60,20,32,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function relu at 0x0000017229AC8510>
30,2.448669099,0.84765163,0.043517007,0.976844376,50,30,64,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<function relu at 0x0000017229AC8510>
30,2.414055946,0.847667069,0.043366311,0.976841288,70,25,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function relu at 0x0000017229AC8510>
30,2.478655621,0.846089241,0.051816012,0.97682199,60,30,256,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x000002AB4FB24510>
30,2.447262742,0.84763928,0.044352538,0.976753288,50,25,64,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<function relu at 0x000002AB4FB24510>
30,2.227794642,0.847630016,0.044923829,0.976407462,60,25,256,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function relu at 0x000002AB4FB24510>
30,2.423658809,0.84781528,0.044693647,0.976260795,70,20,256,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x000002AB4FB24510>
30,2.47949599,0.846021311,0.056467991,0.975996023,60,25,256,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x0000017229AC8510>
30,2.128849036,0.847364472,0.045712325,0.975798409,60,25,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<function relu at 0x0000017229AC8510>
30,2.450129276,0.847648543,0.049483978,0.975209425,60,25,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x0000017229AC8510>
30,2.481478998,0.845752679,0.061009932,0.97514767,70,25,64,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x0000017229AC8510>
30,2.31799636,0.849799931,0.048674241,0.9748271,70,30,256,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<function relu at 0x00000206FE951318>
30,3.037630576,0.85031122,0.048854562,0.97475666,70,25,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<function relu at 0x00000206FE951318>
30,11.42993353,0.850729167,0.048013026,0.9744968,70,35,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x00000206FE951318>
30,2.482058068,0.845731065,0.064466382,0.974069282,60,20,32,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x0000017229AC8510>
30,2.481319549,0.845873101,0.06550914,0.973549773,60,35,32,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x0000017229AC8510>
30,23.7590727,0.849897861,0.057873305,0.9714901,60,35,32,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x00000206FE951318>
30,2.492610806,0.844767695,0.236107252,0.932238323,70,20,256,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.1,<function relu at 0x000002AB4FB24510>
30,2.524374924,0.845653872,0.319996128,0.916830573,50,20,256,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,<function relu at 0x000002AB4FB24510>
30,6.014040002,0.62504207,1.029556276,0.901053841,70,35,256,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.1,<function relu at 0x000002AB4FB24510>
30,2.782865755,0.808999484,0.375808331,0.888486798,60,35,256,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.1,<function relu at 0x0000017229AC8510>
30,4.921859568,0.726028085,0.369145628,0.84262335,50,15,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.1,<function relu at 0x00000206FE951318>
30,48.47980264,0.804611742,0.375684331,0.8425992,50,30,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.1,<function relu at 0x00000206FE951318>
30,4.601825851,0.556221485,0.448004139,0.80784464,70,15,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.1,<function relu at 0x00000206FE951318>
30,3.006084303,0.814097319,0.845767795,0.767383894,50,35,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.1,<function relu at 0x0000017229AC8510>
30,3.23070876,0.56143184,0.878493512,0.757131102,70,35,256,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.1,<function relu at 0x0000017229AC8510>
30,5.046711252,0.805041909,0.784163197,0.6620678,50,35,32,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,<function relu at 0x00000206FE951318>
30,6.169341624,0.56143184,2.222229639,0.538711585,60,30,32,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.1,<function relu at 0x000002AB4FB24510>
30,7.068883439,0.56143184,4.074992454,0.535899439,50,25,32,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.1,<function relu at 0x0000017229AC8510>
30,4.909539768,0.556200087,1.239974239,0.52509904,70,30,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.1,<function relu at 0x00000206FE951318>
30,6.094524263,0.56143184,1.946293641,0.514181151,70,25,32,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,<function relu at 0x0000017229AC8510>
30,7.068883439,0.56143184,5.841507491,0.500197614,60,30,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.1,<function relu at 0x0000017229AC8510>
30,2.445923897,0.848093175,0.04161628,0.978067887,60,35,32,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x000001FAF35EAD30>
30,2.445990778,0.84805921,0.04187261,0.977819325,70,20,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x000001FAF35EAD30>
30,2.446808684,0.848068473,0.042052329,0.977803886,50,25,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x000001FAF35EAD30>
30,2.446568782,0.847988193,0.042011079,0.977764518,60,35,256,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x000001A4597FCEF0>
30,2.445788263,0.848083912,0.04234182,0.977752167,50,20,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x000001A4597FCEF0>
30,2.445277609,0.848170368,0.041911998,0.977746763,50,25,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x000001A4597FCEF0>
30,2.447479628,0.847917175,0.043091781,0.977742132,60,35,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x00000265AF3ECDD8>
30,2.445580607,0.848096263,0.041838783,0.977716658,50,20,64,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x000001FAF35EAD30>
30,2.446421446,0.847938789,0.042453456,0.977607816,70,30,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x000001A4597FCEF0>
30,2.417002785,0.848031421,0.042383583,0.977583114,70,25,256,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x000001FAF35EAD30>
30,9.580496438,0.850859284,0.04314101,0.9774947,50,35,64,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x0000020690E18408>
30,2.446829737,0.847994368,0.043773275,0.977431815,60,25,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x00000265AF3ECDD8>
30,2.422883084,0.847833806,0.042818358,0.977302903,50,20,256,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x000001FAF35EAD30>
30,6.655683551,0.850937366,0.044013109,0.97729266,70,25,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x0000020690E18408>
30,2.447232119,0.847886298,0.043556213,0.977087534,50,30,256,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x000001A4597FCEF0>
30,2.444037572,0.847954228,0.044815906,0.976974832,50,35,256,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x000001A4597FCEF0>
30,2.446335133,0.847802929,0.043079749,0.976963253,70,25,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x000001A4597FCEF0>
30,2.446746074,0.84785542,0.043302943,0.976867533,50,25,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x000001A4597FCEF0>
30,2.446819914,0.84778749,0.043409851,0.976760235,50,25,32,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x000001A4597FCEF0>
30,2.47607195,0.845866925,0.055166738,0.976688445,70,35,256,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x000001A4597FCEF0>
30,2.277897159,0.847444753,0.044110003,0.976424445,70,35,256,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x000001FAF35EAD30>
30,2.479095124,0.845826785,0.052392049,0.97637041,70,20,64,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x000001A4597FCEF0>
30,2.228999555,0.8474077,0.045741006,0.975851672,60,35,256,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x000001A4597FCEF0>
30,2.096696414,0.847441665,0.045164281,0.975797637,60,30,256,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x000001FAF35EAD30>
30,2.475604594,0.846024399,0.057406075,0.975765987,70,30,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x00000265AF3ECDD8>
30,4.86774552,0.85060364,0.048068146,0.97563654,50,25,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x0000020690E18408>
30,5.897989499,0.850631177,0.047011549,0.9751478,60,25,64,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x0000020690E18408>
30,2.480236325,0.845848399,0.061610708,0.974962407,60,30,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x000001FAF35EAD30>
30,5.152039777,0.850674093,0.048144277,0.9749086,60,35,64,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x0000020690E18408>
30,2.4830168,0.845558153,0.060796692,0.974828863,70,25,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x000001A4597FCEF0>
30,2.484268013,0.845678574,0.065963898,0.974664441,70,20,32,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x000001A4597FCEF0>
30,2.481940669,0.845836048,0.061887714,0.974352581,60,35,64,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x000001A4597FCEF0>
30,2.449083981,0.847682508,0.058524039,0.973774405,60,30,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x000001A4597FCEF0>
30,31.13384356,0.85041225,0.055448539,0.9726857,50,15,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x0000020690E18408>
30,18.83055908,0.850299001,0.053397723,0.97254103,60,30,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x0000020690E18408>
30,7.562171794,0.530817043,2.892294862,0.796018687,60,30,256,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x00000265AF3ECDD8>
