round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,third_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
50,1.964901294,0.81037083,0.003508564,0.998737825,75,40,20,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x000002310CE2AB70>
50,1.93508461,0.810326473,0.008667056,0.997634414,100,50,30,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002310CE2AB70>
50,1.943593229,0.810060326,0.035792586,0.99423686,100,50,15,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002310CE2AB70>
50,1.891480157,0.809927253,0.00355901,0.998817207,100,50,20,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x000002310CE2AB70>
50,1.925124589,0.809749823,0.021939845,0.996523064,100,60,30,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002310CE2AB70>
50,1.664456271,0.809616749,0.002589993,0.998999786,100,50,15,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x000002310C9D2EA0>
50,2.091686166,0.809572392,0.018358592,0.996753273,80,50,15,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,1.108629618,0.809394961,0.003921306,0.99880133,80,50,30,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x000002310CE2AB70>
50,1.290082327,0.809394961,0.002314583,0.999047415,75,60,30,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x000002310C9D2EA0>
50,1.856839626,0.809306246,0.007074625,0.998158336,75,60,30,256,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,1.465072512,0.809261888,0.009299099,0.997816993,100,50,15,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x000002310C9D2EA0>
