round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,third_neuron,fourth_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
50,1.306766522,0.809261888,0.002795596,0.999031539,100,60,30,15,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.585220722,0.813564585,0.002936488,0.998983909,100,60,40,20,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.266426689,0.80633428,0.003023025,0.998983909,100,60,40,20,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,9.17510288,0.43075763,7.018792777,0.56408913,80,60,30,20,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,1.760350258,0.818222143,0.005140457,0.998420296,100,50,30,20,256,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,0.975174056,0.78703868,0.012727435,0.996372238,75,60,40,15,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,10.78591463,0.33081973,10.21032953,0.364578124,75,60,30,20,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,1.26011651,0.780695529,0.003033783,0.999015662,75,50,30,15,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,10.78591139,0.33081973,9.478010687,0.411564383,100,50,30,15,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,1.555084994,0.808552165,0.002894921,0.998952156,80,50,30,15,32,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.309077346,0.800612136,0.003775256,0.998817207,100,60,30,20,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.273891122,0.803894606,0.0032701,0.998983909,100,50,40,20,256,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.923479842,0.824964514,0.010051607,0.997801116,75,50,40,15,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,0.960573247,0.780074521,0.005275614,0.998356791,90,50,40,20,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,10.78591463,0.33081973,10.21074917,0.364879776,75,60,30,20,256,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,1.069233256,0.796575586,0.005790005,0.998213903,90,50,30,20,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.67373542,0.80633428,0.002808678,0.999039477,80,60,30,15,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,9.17510287,0.43075763,6.330847488,0.606407722,100,50,30,20,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,1.545335066,0.80092264,0.018959394,0.996792964,75,60,40,15,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,1.912270135,0.814762243,0.01777415,0.996372238,80,50,40,15,32,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,1.223772365,0.816536551,0.003301243,0.998864836,80,50,40,15,256,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,14.38717311,0.107389993,12.40976538,0.229326919,80,50,30,20,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
